role,question,category,difficulty,ideal_points
sde intern,Explain a time you built a project end-to-end. Version 14,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 14,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 15,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 15,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 16,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 16,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 17,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 17,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 18,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 18,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 19,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 19,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
sde intern,Explain a time you built a project end-to-end. Version 20,Behavioral,medium,"Describe problem, stack, challenges, result, and impact clearly."
sde intern,Tell me about a challenging bug you fixed. Version 20,Behavioral,medium,"Explain debugging approach, root cause, fix, and learning."
